victim_set,victim_line_count,probe_set,count,sum_probe_time
1,3,29,3578,215679
1,3,30,3580,214594
1,3,31,3577,215427
1,3,32,3578,216561
1,3,33,3578,215792
1,3,34,3579,218170
1,3,35,3579,214841
1,3,36,3579,214570
1,3,37,3580,218659
1,3,38,3580,215132
1,3,39,3578,217399
1,3,40,3576,219419
1,3,41,3579,214796
1,3,42,3579,216569
1,3,43,3579,214970
1,3,44,3578,217810
1,3,45,3578,216245
1,3,46,3578,217608
1,3,47,3579,215709
1,3,48,3580,215919
1,3,49,3578,218639
1,3,50,3580,215288
1,3,51,3578,216383
1,3,52,3578,216221
1,3,53,3577,219141
1,3,54,3579,215775
1,3,55,3577,217880
1,3,56,3580,214019
1,3,57,3578,215579
1,3,58,3580,214927
1,3,59,3579,213747
1,3,60,3579,216218
1,3,61,3578,216852
1,3,62,3578,214461
1,3,63,3580,213677
1,4,0,3471,206777
1,4,1,3471,211554
1,4,2,3471,207471
1,4,3,3472,206423
1,4,4,3470,207504
1,4,5,3471,210670
1,4,6,3471,208299
1,4,7,3472,207447
1,4,8,3467,210913
1,4,9,3469,209363
1,4,10,3471,209470
1,4,11,3472,210367
1,4,12,3469,209687
1,4,13,3469,209768
1,4,14,3470,208610
1,4,15,3472,209946
1,4,16,3472,209983
1,4,17,3472,209715
1,4,18,3472,210270
1,4,19,3472,208220
1,4,20,3469,208460
1,4,21,3470,208111
1,4,22,3472,208044
1,4,23,3471,208997
1,4,24,3472,210008
1,4,25,3471,209017
1,4,26,3471,207513
1,4,27,3472,207348
1,4,28,3472,207073
1,4,29,3470,210291
1,4,30,3472,208150
1,4,31,3470,209956
1,4,32,3470,210998
1,4,33,3469,208608
1,4,34,3470,209669
1,4,35,3470,208550
1,4,36,3470,209266
1,4,37,3469,212353
1,4,38,3470,209313
1,4,39,3471,211623
1,4,40,3472,213206
1,4,41,3471,208268
1,4,42,3470,211039
1,4,43,3470,211098
1,4,44,3472,211154
1,4,45,3471,209919
1,4,46,3471,211277
1,4,47,3472,208971
1,4,48,3471,209273
1,4,49,3470,210415
1,4,50,3472,210128
1,4,51,3470,208135
1,4,52,3468,210459
1,4,53,3471,213999
1,4,54,3470,208423
1,4,55,3471,209679
1,4,56,3471,208077
1,4,57,3468,208544
1,4,58,3471,208849
1,4,59,3472,208560
1,4,60,3471,207744
1,4,61,3470,211239
1,4,62,3471,208323
1,4,63,3472,207463
1,5,0,3491,207757
1,5,1,3491,212253
1,5,2,3491,207834
1,5,3,3490,207797
1,5,4,3491,210341
1,5,5,3489,209626
1,5,6,3491,208991
1,5,7,3489,208311
1,5,8,3489,210011
1,5,9,3489,210548
1,5,10,3490,211090
1,5,11,3490,212274
1,5,12,3491,210979
1,5,13,3486,209450
1,5,14,3491,209233
1,5,15,3489,209178
1,5,16,3490,210632
1,5,17,3489,209628
1,5,18,3490,210505
1,5,19,3490,208862
1,5,20,3491,208067
1,5,21,3490,208596
1,5,22,3491,209263
1,5,23,3490,208813
1,5,24,3491,209961
1,5,25,3490,210412
1,5,26,3488,208406
1,5,27,3491,207904
1,5,28,3491,209363
1,5,29,3490,210697
1,5,30,3489,209745
1,5,31,3491,210631
1,5,32,3490,212305
1,5,33,3491,210196
1,5,34,3491,210674
1,5,35,3491,209117
1,5,36,3491,210056
1,5,37,3488,210131
1,5,38,3490,210887
1,5,39,3490,210539
1,5,40,3487,213876
1,5,41,3491,210424
1,5,42,3490,211205
1,5,43,3490,210968
1,5,44,3487,212741
1,5,45,3491,209939
1,5,46,3490,210863
1,5,47,3491,209175
1,5,48,3489,209387
1,5,49,3489,211962
1,5,50,3490,209960
1,5,51,3490,209704
1,5,52,3488,210679
1,5,53,3490,214800
1,5,54,3490,210513
1,5,55,3489,211858
1,5,56,3490,208305
1,5,57,3491,210324
1,5,58,3488,208949
1,5,59,3490,210304
1,5,60,3486,208843
1,5,61,3489,211338
1,5,62,3489,211659
1,5,63,3491,208955
1,6,0,3569,213960
1,6,1,3569,217442
1,6,2,3569,213339
1,6,3,3569,213074
1,6,4,3568,213813
1,6,5,3569,217224
1,6,6,3568,216689
1,6,7,3569,213837
1,6,8,3567,215081
1,6,9,3567,215702
1,6,10,3568,215683
1,6,11,3566,215186
1,6,12,3565,215408
1,6,13,3568,217559
1,6,14,3569,214938
1,6,15,3569,215985
1,6,16,3569,216581
1,6,17,3566,217396
1,6,18,3567,219372
1,6,19,3569,216083
1,6,20,3567,216012
1,6,21,3569,214451
1,6,22,3567,213791
1,6,23,3569,215268
1,6,24,3568,215867
1,6,25,3566,216606
1,6,26,3569,215993
1,6,27,3569,213419
1,6,28,3569,213296
1,6,29,3565,216641
1,6,30,3566,214238
1,6,31,3568,215177
1,6,32,3565,217284
1,6,33,3568,217209
1,6,34,3568,217606
1,6,35,3568,213713
1,6,36,3569,214931
1,6,37,3568,216977
1,6,38,3569,214975
1,6,39,3567,215911
1,6,40,3566,218655
1,6,41,3566,213618
1,6,42,3568,217331
1,6,43,3568,215055
1,6,44,3568,215496
1,6,45,3568,216079
1,6,46,3569,216380
1,6,47,3568,214163
1,6,48,3568,214808
1,6,49,3566,216776
1,6,50,3565,215620
1,6,51,3569,214332
1,6,52,3568,216679
1,6,53,3569,219747
1,6,54,3567,217133
1,6,55,3568,216459
1,6,56,3567,212940
1,6,57,3566,215088
1,6,58,3569,214086
1,6,59,3566,213968
1,6,60,3568,215115
1,6,61,3567,215611
1,6,62,3568,214296
1,6,63,3569,213771
1,7,0,3465,207885
1,7,1,3464,211103
1,7,2,3465,207398
1,7,3,3465,208064
1,7,4,3464,208185
1,7,5,3464,209063
1,7,6,3464,208719
1,7,7,3463,207306
1,7,8,3462,210149
1,7,9,3464,211299
1,7,10,3463,209217
1,7,11,3464,210527
1,7,12,3461,211146
1,7,13,3461,210566
1,7,14,3464,210467
1,7,15,3463,210186
1,7,16,3462,209764
1,7,17,3465,211913
1,7,18,3465,211459
1,7,19,3465,208676
1,7,20,3463,209327
1,7,21,3465,209422
1,7,22,3464,207624
1,7,23,3465,208812
1,7,24,3464,209445
1,7,25,3463,212844
1,7,26,3465,209322
1,7,27,3464,207869
1,7,28,3465,207922
1,7,29,3463,210461
1,7,30,3465,207748
1,7,31,3463,210393
1,7,32,3463,210532
1,7,33,3465,208346
1,7,34,3461,212446
1,7,35,3463,208429
1,7,36,3463,210144
1,7,37,3462,210649
1,7,38,3464,208547
1,7,39,3465,211961
1,7,40,3464,211771
1,7,41,3462,208408
1,7,42,3465,211512
1,7,43,3462,211061
1,7,44,3464,210347
1,7,45,3463,209067
1,7,46,3462,210153
1,7,47,3464,208252
1,7,48,3465,208607
1,7,49,3465,212530
1,7,50,3464,208847
1,7,51,3465,209123
1,7,52,3463,211328
1,7,53,3465,211996
1,7,54,3462,211719
1,7,55,3462,210178
1,7,56,3465,209802
1,7,57,3464,209077
1,7,58,3465,208667
1,7,59,3464,208500
1,7,60,3462,207709
1,7,61,3464,210502
1,7,62,3464,208619
1,7,63,3464,208138
1,8,0,3510,209911
1,8,1,3508,214485
1,8,2,3510,210812
1,8,3,3510,211053
1,8,4,3510,211045
1,8,5,3509,213063
1,8,6,3510,211673
1,8,7,3508,210396
1,8,8,3508,213190
1,8,9,3507,215011
1,8,10,3509,211159
1,8,11,3507,214387
1,8,12,3508,212562
1,8,13,3510,214767
1,8,14,3507,213702
1,8,15,3506,213956
1,8,16,3508,214017
1,8,17,3506,213523
1,8,18,3508,214367
1,8,19,3510,212212
1,8,20,3508,211407
1,8,21,3510,211982
1,8,22,3506,211069
1,8,23,3510,211019
1,8,24,3509,213559
1,8,25,3510,214319
1,8,26,3509,210982
1,8,27,3509,211556
1,8,28,3509,210488
1,8,29,3508,214803
1,8,30,3509,210597
1,8,31,3509,215597
1,8,32,3507,213160
1,8,33,3508,212038
1,8,34,3507,214396
1,8,35,3510,211886
1,8,36,3509,211845
1,8,37,3509,215309
1,8,38,3509,211280
1,8,39,3507,213523
1,8,40,3508,214836
1,8,41,3508,211814
1,8,42,3508,216306
1,8,43,3505,213692
1,8,44,3508,213840
1,8,45,3508,212916
1,8,46,3509,214502
1,8,47,3510,211990
1,8,48,3509,211709
1,8,49,3508,213932
1,8,50,3507,211908
1,8,51,3510,211108
1,8,52,3509,213817
1,8,53,3509,215355
1,8,54,3510,212836
1,8,55,3510,213996
1,8,56,3509,211624
1,8,57,3510,211019
1,8,58,3509,211198
1,8,59,3509,210657
